Europe/Andorra	欧洲/安道尔
America/Rio_Branco	America/Rio_Branco
America/Nassau	美国/拿骚
Asia/Thimphu	亚洲/廷布
Africa/Gaborone	非洲/哈博罗内
Europe/Minsk	欧洲/明斯克
America/Belize	美国/伯利兹
America/St_Johns	美国/圣约翰斯
America/Halifax	美国/哈利法克斯
America/Glace_Bay	美国/Glace_Bay
America/Moncton	美国/蒙克顿
America/Goose_Bay	美国/Goose_Bay
America/Blanc-Sablon	美国/Blanc-Sablon
America/Toronto	美国/多伦多
America/Nipigon	美国/尼皮贡
America/Thunder_Bay	美国/Thunder_Bay
America/Iqaluit	美国/伊魁特
America/Pangnirtung	美国/Pangnirtung
America/Atikokan	美国/阿蒂科坎
America/Winnipeg	美国/温尼伯
America/Rainy_River	America/Rainy_River
America/Resolute	美国/坚决
America/Rankin_Inlet	美国/Rankin_Inlet
America/Regina	美国/里贾纳
America/Swift_Current	美国/Swift_Current
America/Edmonton	美国/埃德蒙顿
America/Cambridge_Bay	美国/Cambridge_Bay
America/Yellowknife	美国/黄刀
America/Inuvik	美国/伊努维克
America/Creston	美国/克雷斯顿
America/Dawson_Creek	美国/道森克里克
America/Fort_Nelson	美国/Fort_Nelson
America/Whitehorse	美国/怀特霍斯
America/Dawson	美国/道森
America/Vancouver	美国/温哥华
Indian/Cocos	印度/可可
Africa/Kinshasa	非洲/金沙萨
Africa/Lubumbashi	非洲/卢本巴希
Africa/Bangui	非洲/班吉
Africa/Brazzaville	非洲/布拉柴维尔
Europe/Zurich	欧洲/苏黎世
Africa/Abidjan	非洲/阿比让
Pacific/Rarotonga	太平洋/拉罗汤加
America/Santiago	美国/圣地亚哥
America/Punta_Arenas	America/Punta_Arenas
Pacific/Easter	太平洋/复活节
Africa/Douala	非洲/杜阿拉
Asia/Shanghai	亚洲/上海
Asia/Urumqi	亚洲/乌鲁木齐
America/Bogota	美国/波哥大
America/Costa_Rica	美国/哥斯达黎加
America/Havana	美国/哈瓦那
Atlantic/Cape_Verde	大西洋/佛得角
America/Curacao	美国/库拉索
Indian/Christmas	印度/圣诞节
Asia/Nicosia	亚洲/尼科西亚
Asia/Famagusta	亚洲/法马古斯塔
Europe/Prague	欧洲/布拉格
Europe/Berlin	欧洲/柏林
Europe/Busingen	欧洲/布辛根
Africa/Djibouti	非洲/吉布提
Europe/Copenhagen	欧洲/哥本哈根
America/Dominica	美国/多米尼克
America/Santo_Domingo	美国/Santo_Domingo
Africa/Algiers	非洲/阿尔及尔
America/Guayaquil	美国/瓜亚基尔
Pacific/Galapagos	太平洋/加拉帕戈斯
Europe/Tallinn	欧洲/塔林
Africa/Cairo	非洲/开罗
Africa/El_Aaiun	非洲/El_Aaiun
Africa/Asmara	非洲/阿斯马拉
Europe/Madrid	欧洲/马德里
Africa/Ceuta	非洲/休达
Atlantic/Canary	大西洋/金丝雀
Africa/Addis_Ababa	非洲/亚的斯亚贝巴
Europe/Helsinki	欧洲/赫尔辛基
Pacific/Fiji	太平洋/斐济
Atlantic/Stanley	大西洋/斯坦利
Pacific/Chuuk	太平洋/楚克
Pacific/Pohnpei	太平洋/波纳佩
Pacific/Kosrae	太平洋/科斯雷
Atlantic/Faroe	大西洋/法罗
Europe/Paris	欧洲/巴黎
Africa/Libreville	非洲/利伯维尔
Europe/London	欧洲/伦敦
America/Grenada	美国/格林纳达
Asia/Tbilisi	亚洲/第比利斯
America/Cayenne	美国/卡宴
Europe/Guernsey	欧洲/根西岛
Africa/Accra	非洲/阿克拉
Europe/Gibraltar	欧洲/直布罗陀
America/Nuuk	美国/努克
America/Danmarkshavn	美国/丹麦港
America/Scoresbysund	美国/斯科尔斯比松
America/Thule	美国/拓乐
Africa/Banjul	非洲/班珠尔
Africa/Conakry	非洲/科纳克里
America/Guadeloupe	美国/瓜德罗普
Africa/Malabo	非洲/马拉博
Europe/Athens	欧洲/雅典
Atlantic/South_Georgia	大西洋/South_Georgia
America/Guatemala	美国/危地马拉
Pacific/Guam	太平洋/关岛
Africa/Bissau	非洲/比绍
America/Guyana	美国/圭亚那
Asia/Hong_Kong	亚洲/香港_香港
America/Tegucigalpa	美国/特古西加尔巴
Europe/Zagreb	欧洲/萨格勒布
America/Port-au-Prince	美国/太子港
Europe/Budapest	欧洲/布达佩斯
Asia/Jakarta	亚洲/雅加达
Asia/Pontianak	亚洲/坤甸
Asia/Makassar	亚洲/望加锡
Asia/Jayapura	亚洲/查亚普拉
Europe/Dublin	欧洲/都柏林
Asia/Jerusalem	亚洲/耶路撒冷
Europe/Isle_of_Man	欧洲/马恩岛
Asia/Kolkata	亚洲/加尔各答
Indian/Chagos	印度/查戈斯
Asia/Baghdad	亚洲/巴格达
Asia/Tehran	亚洲/德黑兰
Atlantic/Reykjavik	大西洋/雷克雅未克
Europe/Rome	欧洲/罗马
Europe/Jersey	欧洲/泽西岛
America/Jamaica	美国/牙买加
Asia/Amman	亚洲/安曼
Asia/Tokyo	亚洲/东京
Africa/Nairobi	非洲/内罗毕
Asia/Bishkek	亚洲/比什凯克
Asia/Phnom_Penh	亚洲/金边
Pacific/Tarawa	太平洋/塔拉瓦
Pacific/Kanton	太平洋/坎顿
Pacific/Kiritimati	太平洋/基里蒂马蒂
Indian/Comoro	印度/科摩罗
America/St_Kitts	美国/St_Kitts
Asia/Pyongyang	亚洲/平壤
Asia/Seoul	亚洲/首尔
Asia/Kuwait	亚洲/科威特
America/Cayman	美国/开曼
Asia/Almaty	亚洲/阿拉木图
Asia/Qyzylorda	亚洲/克孜勒奥尔达
Asia/Qostanay	亚洲/昆士兰
Asia/Aqtobe	亚洲/阿克托比
Asia/Aqtau	亚洲/阿克套
Asia/Atyrau	亚洲/阿特劳
Asia/Oral	亚洲/口语
Asia/Vientiane	亚洲/万象
Asia/Beirut	亚洲/贝鲁特
America/St_Lucia	美国/圣卢西亚
Europe/Vaduz	欧洲/瓦杜兹
Asia/Colombo	亚洲/科伦坡
Africa/Monrovia	非洲/蒙罗维亚
Africa/Maseru	非洲/马塞卢
Europe/Vilnius	欧洲/维尔纽斯
Europe/Luxembourg	欧洲/卢森堡
Europe/Riga	欧洲/里加
Africa/Tripoli	非洲/的黎波里
Africa/Casablanca	非洲/卡萨布兰卡
Europe/Monaco	欧洲/摩纳哥
Europe/Chisinau	欧洲/基希讷乌
Europe/Podgorica	欧洲/波德戈里察
America/Marigot	美国/马里戈特
Indian/Antananarivo	印度/塔那那利佛
Pacific/Majuro	太平洋/马朱罗
Pacific/Kwajalein	太平洋/夸贾林
Europe/Skopje	欧洲/斯科普里
Africa/Bamako	非洲/巴马科
Asia/Yangon	亚洲/仰光
Asia/Ulaanbaatar	亚洲/乌兰巴托
Asia/Hovd	亚洲/Hovd
Asia/Choibalsan	亚洲/乔巴山
Asia/Macau	亚洲/澳门
Pacific/Saipan	太平洋/塞班
America/Martinique	美国/马提尼克岛
Africa/Nouakchott	非洲/努瓦克肖特
America/Montserrat	美国/蒙特塞拉特
Europe/Malta	欧洲/马耳他
Indian/Mauritius	印度/毛里求斯
Indian/Maldives	印度/马尔代夫
Africa/Blantyre	非洲/布兰太尔
America/Mexico_City	美国/墨西哥城
America/Cancun	美国/坎昆
America/Merida	美国/美利达
America/Monterrey	美国/蒙特雷
America/Matamoros	美洲/马塔莫罗斯
America/Mazatlan	美国/马萨特兰
America/Chihuahua	美国/奇瓦瓦
America/Ojinaga	美国/Ojinaga
America/Hermosillo	美国/埃莫西约
America/Tijuana	美国/蒂华纳
America/Bahia_Banderas	America/Bahia_Banderas
Asia/Kuala_Lumpur	Asia/Kuala_Lumpur
Asia/Kuching	亚洲/古晋
Africa/Maputo	非洲/马普托
Africa/Windhoek	非洲/温得和克
Pacific/Noumea	太平洋/努美阿
Africa/Niamey	非洲/尼亚美
Pacific/Norfolk	太平洋/诺福克
Africa/Lagos	非洲/拉各斯
America/Managua	美洲/马那瓜
Europe/Amsterdam	欧洲/阿姆斯特丹
Europe/Oslo	欧洲/奥斯陆
Asia/Kathmandu	亚洲/加德满都
Pacific/Nauru	太平洋/瑙鲁
Pacific/Niue	太平洋/纽埃
Pacific/Auckland	太平洋/奥克兰
Pacific/Chatham	太平洋/查塔姆
Asia/Muscat	亚洲/马斯喀特
America/Panama	美国/巴拿马
America/Lima	美国/利马
Pacific/Tahiti	太平洋/大溪地
Pacific/Marquesas	太平洋/马克萨斯
Pacific/Gambier	太平洋/甘比尔
Pacific/Port_Moresby	太平洋/Port_Moresby
Pacific/Bougainville	太平洋/布干维尔
Asia/Manila	亚洲/马尼拉
Asia/Karachi	亚洲/卡拉奇
Europe/Warsaw	欧洲/华沙
America/Miquelon	美国/密克隆
Pacific/Pitcairn	太平洋/皮特凯恩
America/Puerto_Rico	美国/波多黎各
Asia/Gaza	亚洲/加沙
Asia/Hebron	亚洲/希伯伦
Europe/Lisbon	欧洲/里斯本
Atlantic/Madeira	大西洋/马德拉
Atlantic/Azores	大西洋/亚速尔群岛
Pacific/Palau	太平洋/帕劳
America/Asuncion	美国/亚松森
Asia/Qatar	亚洲/卡塔尔
Indian/Reunion	印度/留尼汪
Europe/Bucharest	欧洲/布加勒斯特
Europe/Belgrade	欧洲/贝尔格莱德
Europe/Kaliningrad	欧洲/加里宁格勒
Europe/Moscow	欧洲/莫斯科
Europe/Simferopol	欧洲/辛菲罗波尔
Europe/Kirov	欧洲/基洛夫
Europe/Volgograd	欧洲/伏尔加格勒
Europe/Astrakhan	欧洲/阿斯特拉罕
Europe/Saratov	欧洲/萨拉托夫
Europe/Ulyanovsk	欧洲/乌里扬诺夫斯克
Europe/Samara	欧洲/萨马拉
Asia/Yekaterinburg	亚洲/叶卡捷琳堡
Asia/Omsk	亚洲/鄂木斯克
Asia/Novosibirsk	亚洲/新西伯利亚
Asia/Barnaul	亚洲/巴尔瑙尔
Asia/Tomsk	亚洲/托木斯克
Asia/Novokuznetsk	亚洲/新库兹涅茨克
Asia/Krasnoyarsk	亚洲/克拉斯诺亚尔斯克
Asia/Irkutsk	亚洲/伊尔库茨克
Asia/Chita	亚洲/赤塔
Asia/Yakutsk	亚洲/雅库茨克
Asia/Khandyga	亚洲/康提加
Asia/Vladivostok	亚洲/符拉迪沃斯托克
Asia/Ust-Nera	亚洲/乌斯季尼拉
Asia/Magadan	亚洲/马加丹
Asia/Sakhalin	亚洲/萨哈林
Asia/Srednekolymsk	亚洲/斯雷德涅科雷姆斯克
Asia/Kamchatka	亚洲/堪察加
Asia/Anadyr	亚洲/阿纳德尔
Africa/Kigali	非洲/基加利
Asia/Riyadh	亚洲/利雅得
Pacific/Guadalcanal	太平洋/瓜达尔卡纳尔
Indian/Mahe	印度/马埃
Africa/Khartoum	非洲/喀土穆
Europe/Stockholm	欧洲/斯德哥尔摩
Asia/Singapore	亚洲/新加坡
Atlantic/St_Helena	大西洋/圣赫勒拿
Europe/Ljubljana	欧洲/卢布尔雅那
Arctic/Longyearbyen	北极/朗伊尔城
Europe/Bratislava	欧洲/布拉迪斯拉发
Africa/Freetown	非洲/弗里敦
Europe/San_Marino	欧洲/圣马力诺
Africa/Dakar	非洲/达喀尔
Africa/Mogadishu	非洲/摩加迪沙
America/Paramaribo	美国/帕拉马里博
Africa/Juba	非洲/朱巴
Africa/Sao_Tome	非洲/圣多美
America/El_Salvador	美国/萨尔瓦多
America/Lower_Princes	美国/Lower_Princes
Asia/Damascus	亚洲/大马士革
Africa/Mbabane	非洲/墨巴本
America/Grand_Turk	美国/Grand_Turk
Africa/Ndjamena	非洲/恩贾梅纳
Indian/Kerguelen	印度/凯尔盖伦
Africa/Lome	非洲/洛美
Asia/Bangkok	亚洲/曼谷
Asia/Dushanbe	亚洲/杜尚别
Pacific/Fakaofo	太平洋/法考福
Asia/Dili	亚洲/帝力
Asia/Ashgabat	亚洲/阿什哈巴德
Africa/Tunis	非洲/突尼斯
Pacific/Tongatapu	太平洋/汤加塔布
Europe/Istanbul	欧洲/伊斯坦布尔
America/Port_of_Spain	美国/西班牙港
Pacific/Funafuti	太平洋/富纳富提
Asia/Taipei	亚洲/台北
Africa/Dar_es_Salaam	非洲/Dar_es_Salaam
Europe/Kiev	欧洲/基辅
Europe/Uzhgorod	欧洲/乌日哥罗德
Europe/Zaporozhye	欧洲/扎波罗热
Africa/Kampala	非洲/坎帕拉
Pacific/Midway	太平洋/中途岛
Pacific/Wake	太平洋/威克
America/New_York	美国/纽约
America/Detroit	美国/底特律
America/Kentucky/Louisville	美国/肯塔基州/路易斯维尔
America/Kentucky/Monticello	美国/肯塔基州/蒙蒂塞洛
America/Indiana/Indianapolis	美国/印第安纳州/印第安纳波利斯
America/Indiana/Vincennes	美国/印第安纳州/文森斯
America/Indiana/Winamac	美国/印第安纳州/Winamac
America/Indiana/Marengo	美国/印第安纳州/马伦戈
America/Indiana/Petersburg	美国/印第安纳州/圣彼得堡
America/Indiana/Vevay	美国/印第安纳州/Vevay
America/Chicago	美国/芝加哥
America/Indiana/Tell_City	美国/印第安纳州/Tell_City
America/Indiana/Knox	美国/印第安纳州/诺克斯
America/Menominee	美国/Menominee
America/North_Dakota/Center	美洲/North_Dakota/中部
America/North_Dakota/New_Salem	美洲/North_Dakota/New_Salem
America/North_Dakota/Beulah	美洲/North_Dakota/Beulah
America/Denver	美国/丹佛
America/Boise	美国/博伊西
America/Phoenix	美国/凤凰
America/Los_Angeles	美国/洛杉矶
America/Anchorage	美国/安克雷奇
America/Juneau	美国/朱诺
America/Sitka	美国/锡特卡
America/Metlakatla	美国/梅特拉卡特拉
America/Yakutat	美国/雅库塔特
America/Nome	美国/名称
America/Adak	美国/埃达克
Pacific/Honolulu	太平洋/檀香山
America/Montevideo	美国/蒙得维的亚
Asia/Samarkand	亚洲/撒马尔罕
Asia/Tashkent	亚洲/塔什干
Europe/Vatican	欧洲/梵蒂冈
America/St_Vincent	美国/圣文森特
America/Caracas	美国/加拉加斯
America/Tortola	美国/托托拉
America/St_Thomas	美国/St_Thomas
Asia/Ho_Chi_Minh	亚洲/Ho_Chi_Minh
Pacific/Efate	太平洋/埃法特
Pacific/Wallis	太平洋/瓦利斯
Pacific/Apia	太平洋/阿皮亚
Asia/Aden	亚洲/亚丁
Indian/Mayotte	印度/马约特
Africa/Johannesburg	非洲/约翰内斯堡
Africa/Lusaka	非洲/卢萨卡
Africa/Harare	非洲/哈拉雷
